url,error
https://boxrec.com/en/box-pro/600529,exception
https://boxrec.com/en/box-pro/389352,exception
https://boxrec.com/en/box-pro/272078,exception
https://boxrec.com/en/box-pro/71163,exception
https://boxrec.com/en/box-pro/000565,exception
https://boxrec.com/en/box-pro/445347,exception
https://boxrec.com/en/box-pro/1324851,exception
https://boxrec.com/en/box-pro/353125,exception
https://boxrec.com/en/box-pro/1124635,exception
https://boxrec.com/en/box-pro/658009,exception
https://boxrec.com/en/box-pro/458369,HTTP 520
https://boxrec.com/en/box-pro/354033,exception
https://boxrec.com/en/box-pro/223811,exception
https://boxrec.com/en/box-pro/13786,exception
https://boxrec.com/en/box-pro/006887,exception
https://boxrec.com/en/box-pro/349590,exception
https://boxrec.com/en/box-pro/14690,exception
https://boxrec.com/en/box-pro/438987,exception
https://boxrec.com/en/box-pro/358047,exception
https://boxrec.com/en/box-pro/16642,exception
https://boxrec.com/en/box-pro/44132,exception
https://boxrec.com/en/box-pro/720418,exception
https://boxrec.com/en/box-pro/255014,exception
https://boxrec.com/en/box-pro/641639,exception
https://boxrec.com/en/box-pro/650213,exception
https://boxrec.com/en/box-pro/3600,exception
https://boxrec.com/en/box-pro/1134766,exception
https://boxrec.com/en/box-pro/587224,exception
https://boxrec.com/en/box-pro/466,exception
https://boxrec.com/en/box-pro/49405,exception
https://boxrec.com/en/box-pro/119980,exception
https://boxrec.com/en/box-pro/829312,exception
https://boxrec.com/en/box-pro/339217,exception
https://boxrec.com/en/box-pro/3102,exception
https://boxrec.com/en/box-pro/837926,exception
https://boxrec.com/en/box-pro/685630,exception
https://boxrec.com/en/box-pro/727826,exception
https://boxrec.com/en/box-pro/1046717,exception
https://boxrec.com/en/box-pro/531000,exception
https://boxrec.com/en/box-pro/171565,exception
https://boxrec.com/en/box-pro/868063,exception
https://boxrec.com/en/box-pro/651087,exception
https://boxrec.com/en/box-pro/648863,exception
https://boxrec.com/en/box-pro/57289,exception
https://boxrec.com/en/box-pro/22761,exception
https://boxrec.com/en/box-pro/151891,exception
https://boxrec.com/en/box-pro/595785,exception
https://boxrec.com/en/box-pro/23747,exception
https://boxrec.com/en/box-pro/538841,exception
https://boxrec.com/en/box-pro/609076,exception
https://boxrec.com/en/box-pro/570403,HTTP 520
https://boxrec.com/en/box-pro/800520,exception
https://boxrec.com/en/box-pro/703488,exception
https://boxrec.com/en/box-pro/357842,exception
https://boxrec.com/en/box-pro/1293032,exception
https://boxrec.com/en/box-pro/112406,exception
https://boxrec.com/en/box-pro/5589,exception
https://boxrec.com/en/box-pro/761871,exception
https://boxrec.com/en/box-pro/779057,exception
https://boxrec.com/en/box-pro/330482,exception
