name,url
Raul Curiel,https://boxrec.com/en/box-pro/789385
Thomas Hearns,https://boxrec.com/en/box-pro/303
Austin Williams,https://boxrec.com/en/box-pro/861505
Mikey Garcia,https://boxrec.com/en/box-pro/364679
Derek Chisora,https://boxrec.com/en/box-pro/381739
Dustin Nichols,https://boxrec.com/en/box-pro/396124
Rafael Espinoza,https://boxrec.com/en/box-pro/668600
Chordale Booker,https://boxrec.com/en/box-pro/748808
Yamileth Mercado,https://boxrec.com/en/box-pro/695318
Nurideen Shabazz,https://boxrec.com/en/box-pro/1122872
Ricky Hatton,https://boxrec.com/en/box-pro/009314
Jalil Hackett,https://boxrec.com/es/box-pro/1016127
Malik Zinad,https://boxrec.com/en/box-pro/737291
Ricardo Lopez,https://boxrec.com/en/box-pro/521
Nikolai Valuev,https://boxrec.com/en/box-pro/19904
Sergiy Derevyanchenko,https://boxrec.com/en/box-pro/691996
Mikaela Mayer,https://boxrec.com/en/box-pro/803614
Robson Conceicao,https://boxrec.com/en/box-pro/772975
Chris Colbert,https://boxrec.com/en/box-pro/720233
Amari Jones,https://boxrec.com/en/box-pro/873678
Marcos Maidana,https://boxrec.com/en/box-pro/257790
Jack Catterall,https://boxrec.com/en/box-pro/623843
Josue Vargas,https://boxrec.com/en/box-pro/737807
Kubrat Pulev,https://boxrec.com/en/box-pro/511850
Fernando Vargas,https://boxrec.com/fr/box-pro/900242
Ye Joon Kim,https://boxrec.com/en/box-pro/606181
Jorge Kahwagi,https://boxrec.com/en/box-pro/74895
Danielle Perkins,https://boxrec.com/en/box-pro/886668
John Riel Casimero,https://boxrec.com/en/box-pro/421916
Joshua Buatsi,https://boxrec.com/en/box-pro/801693
Donovan Ruddock,https://boxrec.com/en/box-pro/1869
Guillermo Rigondeaux,https://boxrec.com/en/box-pro/492989
Emanuel Augustus,https://boxrec.com/en/box-pro/6887
Nick Ball,https://boxrec.com/ru/box-pro/801849
Jessica McCaskill,https://boxrec.com/en/box-pro/727411
Gabriela Fundora,https://boxrec.com/en/box-pro/908739
Gustavo Daniel Lemos,https://boxrec.com/en/box-pro/757295
Liam Cameron,https://boxrec.com/en/box-pro/506068
Ivan Redkach,https://boxrec.com/en/box-pro/517769
Paul Malignaggi,https://boxrec.com/en/box-pro/52984
Rocky Marciano,https://boxrec.com/en/box-pro/9032
Ray Leonard,https://boxrec.com/en/box-pro/269
Laila Ali,https://boxrec.com/en/box-pro/014260
Jose Pedraza,https://boxrec.com/en/box-pro/559909
